ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
7D259133,Single_Gunshot,14-Feb-18,10:12:07,WashingtonDC7D,38.844,-76.979
6D201825,Single_Gunshot,14-Feb-18,22:17:49,WashingtonDC6D,38.882,-76.935
7D259161,Single_Gunshot,15-Feb-18,13:39:17,WashingtonDC7D,38.861,-76.994
7D259169,Single_Gunshot,15-Feb-18,20:53:48,WashingtonDC7D,38.828,-76.995
7D259173,Single_Gunshot,16-Feb-18,1:32:09,WashingtonDC7D,38.83,-77
6D201855,Single_Gunshot,16-Feb-18,18:46:21,WashingtonDC6D,38.91,-76.935
4D67193,Single_Gunshot,16-Feb-18,23:26:59,WashingtonDC4D,38.956,-77.025
7D259189,Single_Gunshot,17-Feb-18,0:00:35,WashingtonDC7D,38.854,-76.972
6D201858,Single_Gunshot,17-Feb-18,0:10:03,WashingtonDC6D,38.897,-76.925
4D67195,Single_Gunshot,17-Feb-18,4:37:12,WashingtonDC4D,38.955,-77.016
7D259194,Single_Gunshot,17-Feb-18,13:23:14,WashingtonDC7D,38.861,-76.986
7D259195,Single_Gunshot,17-Feb-18,13:23:20,WashingtonDC7D,38.861,-76.986
4D67197,Single_Gunshot,17-Feb-18,22:31:58,WashingtonDC4D,38.954,-77.016
1D93506,Single_Gunshot,18-Feb-18,18:34:32,WashingtonDC1D,38.875,-77.013
1D93507,Single_Gunshot,18-Feb-18,18:48:51,WashingtonDC1D,38.874,-77.012
6D201873,Single_Gunshot,18-Feb-18,19:30:07,WashingtonDC6D,38.904,-76.938
7D259225,Single_Gunshot,18-Feb-18,23:12:26,WashingtonDC7D,38.844,-76.979
4D67204,Single_Gunshot,19-Feb-18,2:25:48,WashingtonDC4D,38.949,-77.021
7D259258,Single_Gunshot,20-Feb-18,3:35:39,WashingtonDC7D,38.828,-76.996
6D201891,Single_Gunshot,20-Feb-18,5:14:19,WashingtonDC6D,38.885,-76.953
1D93525,Single_Gunshot,20-Feb-18,19:01:30,WashingtonDC1D,38.889,-76.99
6D201900,Single_Gunshot,20-Feb-18,22:31:50,WashingtonDC6D,38.895,-76.937
7D259275,Single_Gunshot,20-Feb-18,23:20:00,WashingtonDC7D,38.847,-76.977
7D259278,Single_Gunshot,21-Feb-18,3:31:50,WashingtonDC7D,38.856,-76.969
7D259280,Single_Gunshot,21-Feb-18,4:37:28,WashingtonDC7D,38.836,-76.996
7D259290,Single_Gunshot,21-Feb-18,21:28:13,WashingtonDC7D,38.858,-76.995
7D259294,Single_Gunshot,21-Feb-18,23:12:50,WashingtonDC7D,38.846,-76.973
6D201913,Single_Gunshot,21-Feb-18,23:50:53,WashingtonDC6D,38.87,-76.949
6D201918,Single_Gunshot,22-Feb-18,2:21:11,WashingtonDC6D,38.883,-76.936
6D201919,Single_Gunshot,22-Feb-18,2:21:28,WashingtonDC6D,38.883,-76.936
6D201921,Single_Gunshot,22-Feb-18,2:48:59,WashingtonDC6D,38.904,-76.925
7D259308,Single_Gunshot,22-Feb-18,16:20:54,WashingtonDC7D,38.854,-76.971
6D201925,Single_Gunshot,22-Feb-18,19:39:33,WashingtonDC6D,38.882,-76.935
6D201927,Single_Gunshot,22-Feb-18,20:42:41,WashingtonDC6D,38.883,-76.929
6D201928,Single_Gunshot,22-Feb-18,21:45:31,WashingtonDC6D,38.893,-76.929
7D259313,Single_Gunshot,22-Feb-18,21:58:05,WashingtonDC7D,38.824,-77.003
7D259328,Single_Gunshot,23-Feb-18,20:03:40,WashingtonDC7D,38.826,-77.003
7D259331,Single_Gunshot,23-Feb-18,22:33:12,WashingtonDC7D,38.831,-76.999
6D201948,Single_Gunshot,24-Feb-18,20:35:07,WashingtonDC6D,38.877,-76.932
7D259353,Single_Gunshot,24-Feb-18,22:47:07,WashingtonDC7D,38.866,-76.983
7D259359,Single_Gunshot,25-Feb-18,7:05:44,WashingtonDC7D,38.831,-77.007
6D201950,Single_Gunshot,25-Feb-18,12:46:28,WashingtonDC6D,38.897,-76.941
7D259362,Single_Gunshot,25-Feb-18,16:49:44,WashingtonDC7D,38.841,-76.992
5D83699,Single_Gunshot,25-Feb-18,23:39:44,WashingtonDC5D,38.917,-77.003
6D201956,Single_Gunshot,26-Feb-18,1:49:33,WashingtonDC6D,38.881,-76.961
7D259411,Single_Gunshot,26-Feb-18,22:47:02,WashingtonDC7D,38.828,-76.997
7D259421,Single_Gunshot,27-Feb-18,4:48:29,WashingtonDC7D,38.838,-76.999
6D201986,Single_Gunshot,27-Feb-18,22:46:24,WashingtonDC6D,38.881,-76.961
7D259458,Single_Gunshot,27-Feb-18,23:52:17,WashingtonDC7D,38.865,-76.978
7D259459,Single_Gunshot,27-Feb-18,23:52:54,WashingtonDC7D,38.843,-76.987
6D201990,Single_Gunshot,28-Feb-18,0:26:37,WashingtonDC6D,38.904,-76.939
7D259461,Single_Gunshot,28-Feb-18,1:37:31,WashingtonDC7D,38.842,-77.001
7D259462,Single_Gunshot,28-Feb-18,2:08:35,WashingtonDC7D,38.849,-76.971
7D259489,Single_Gunshot,28-Feb-18,21:04:12,WashingtonDC7D,38.844,-76.977
6D202004,Single_Gunshot,28-Feb-18,21:40:53,WashingtonDC6D,38.908,-76.931
6D202008,Single_Gunshot,1-Mar-18,0:44:12,WashingtonDC6D,38.88,-76.931
7D259512,Single_Gunshot,1-Mar-18,6:45:25,WashingtonDC7D,38.868,-76.981
7D259532,Single_Gunshot,1-Mar-18,22:50:42,WashingtonDC7D,38.859,-76.997
5D83830,Single_Gunshot,3-Mar-18,4:14:38,WashingtonDC5D,38.913,-76.99
7D259629,Single_Gunshot,3-Mar-18,4:37:38,WashingtonDC7D,38.855,-76.97
6D202042,Single_Gunshot,4-Mar-18,0:16:15,WashingtonDC6D,38.882,-76.931
6D202044,Single_Gunshot,4-Mar-18,1:33:55,WashingtonDC6D,38.888,-76.952
1D93690,Single_Gunshot,4-Mar-18,2:56:20,WashingtonDC1D,38.889,-76.974
5D83834,Single_Gunshot,4-Mar-18,5:44:16,WashingtonDC5D,38.913,-76.99
5D83835,Single_Gunshot,4-Mar-18,5:44:25,WashingtonDC5D,38.913,-76.99
6D202047,Single_Gunshot,4-Mar-18,7:25:02,WashingtonDC6D,38.885,-76.941
7D259659,Single_Gunshot,4-Mar-18,20:28:59,WashingtonDC7D,38.833,-76.994
5D83849,Single_Gunshot,4-Mar-18,20:40:21,WashingtonDC5D,38.904,-76.976
6D202062,Single_Gunshot,5-Mar-18,21:23:38,WashingtonDC6D,38.905,-76.926
6D202064,Single_Gunshot,6-Mar-18,4:22:27,WashingtonDC6D,38.895,-76.929
5D83880,Single_Gunshot,7-Mar-18,3:32:00,WashingtonDC5D,38.927,-76.969
4D67389,Single_Gunshot,7-Mar-18,19:04:35,WashingtonDC4D,38.956,-77.022
6D202083,Single_Gunshot,8-Mar-18,1:26:50,WashingtonDC6D,38.89,-76.954
6D202084,Single_Gunshot,8-Mar-18,1:26:57,WashingtonDC6D,38.89,-76.954
7D259708,Single_Gunshot,8-Mar-18,3:18:21,WashingtonDC7D,38.845,-77.001
5D83901,Single_Gunshot,8-Mar-18,19:26:05,WashingtonDC5D,38.922,-76.988
3D68965,Single_Gunshot,8-Mar-18,22:51:51,WashingtonDC3D,38.93,-77.032
7D259725,Single_Gunshot,9-Mar-18,8:09:53,WashingtonDC7D,38.83,-77.007
7D259732,Single_Gunshot,9-Mar-18,22:13:09,WashingtonDC7D,38.863,-76.988
5D83908,Single_Gunshot,10-Mar-18,0:54:28,WashingtonDC5D,38.916,-77.003
6D202100,Single_Gunshot,10-Mar-18,1:09:35,WashingtonDC6D,38.884,-76.929
5D83909,Single_Gunshot,10-Mar-18,3:31:47,WashingtonDC5D,38.9,-76.983
6D202110,Single_Gunshot,10-Mar-18,18:27:37,WashingtonDC6D,38.87,-76.972
6D202111,Single_Gunshot,10-Mar-18,19:35:55,WashingtonDC6D,38.901,-76.944
4D67402,Single_Gunshot,10-Mar-18,19:50:02,WashingtonDC4D,38.952,-77.026
6D202122,Single_Gunshot,11-Mar-18,0:57:48,WashingtonDC6D,38.876,-76.956
4D67403,Single_Gunshot,11-Mar-18,3:22:16,WashingtonDC4D,38.951,-77.027
4D67404,Single_Gunshot,11-Mar-18,4:01:39,WashingtonDC4D,38.955,-77.028
4D67405,Single_Gunshot,11-Mar-18,4:03:35,WashingtonDC4D,38.955,-77.028
4D67406,Single_Gunshot,11-Mar-18,4:03:46,WashingtonDC4D,38.955,-77.028
5D83924,Single_Gunshot,11-Mar-18,17:25:49,WashingtonDC5D,38.91,-76.985
7D259775,Single_Gunshot,11-Mar-18,20:32:52,WashingtonDC7D,38.835,-77.006
6D202136,Single_Gunshot,11-Mar-18,20:36:21,WashingtonDC6D,38.905,-76.926
6D202138,Single_Gunshot,11-Mar-18,22:16:43,WashingtonDC6D,38.908,-76.931
6D202139,Single_Gunshot,11-Mar-18,22:24:02,WashingtonDC6D,38.908,-76.931
6D202143,Single_Gunshot,11-Mar-18,23:22:16,WashingtonDC6D,38.901,-76.94
6D202147,Single_Gunshot,12-Mar-18,3:21:39,WashingtonDC6D,38.894,-76.923
6D202148,Single_Gunshot,12-Mar-18,3:21:58,WashingtonDC6D,38.894,-76.923
7D259788,Single_Gunshot,12-Mar-18,22:15:20,WashingtonDC7D,38.844,-76.973
7D259794,Single_Gunshot,13-Mar-18,19:31:07,WashingtonDC7D,38.864,-76.983
6D202160,Single_Gunshot,13-Mar-18,19:45:46,WashingtonDC6D,38.891,-76.943
7D259795,Single_Gunshot,13-Mar-18,19:47:11,WashingtonDC7D,38.827,-76.998
7D259796,Single_Gunshot,13-Mar-18,20:26:39,WashingtonDC7D,38.837,-76.99
6D202162,Single_Gunshot,14-Mar-18,1:36:00,WashingtonDC6D,38.879,-76.931
7D259800,Single_Gunshot,14-Mar-18,1:48:45,WashingtonDC7D,38.843,-76.984
7D259807,Single_Gunshot,14-Mar-18,17:10:32,WashingtonDC7D,38.847,-76.98
7D259809,Single_Gunshot,14-Mar-18,21:19:49,WashingtonDC7D,38.842,-76.991
7D259810,Single_Gunshot,14-Mar-18,21:20:00,WashingtonDC7D,38.842,-76.99
7D259825,Single_Gunshot,15-Mar-18,19:10:16,WashingtonDC7D,38.829,-76.999
7D259835,Single_Gunshot,16-Mar-18,1:09:53,WashingtonDC7D,38.833,-76.999
7D259839,Single_Gunshot,16-Mar-18,21:32:45,WashingtonDC7D,38.829,-77.003
6D202182,Single_Gunshot,17-Mar-18,0:12:40,WashingtonDC6D,38.886,-76.953
7D259857,Single_Gunshot,17-Mar-18,22:27:03,WashingtonDC7D,38.83,-76.995
5D83976,Single_Gunshot,18-Mar-18,2:19:03,WashingtonDC5D,38.913,-77.008
6D202204,Single_Gunshot,18-Mar-18,16:51:30,WashingtonDC6D,38.897,-76.949
6D202206,Single_Gunshot,18-Mar-18,16:55:14,WashingtonDC6D,38.89,-76.926
7D259875,Single_Gunshot,18-Mar-18,21:25:58,WashingtonDC7D,38.831,-76.998
6D202217,Single_Gunshot,18-Mar-18,23:18:41,WashingtonDC6D,38.883,-76.929
6D202219,Single_Gunshot,19-Mar-18,2:00:36,WashingtonDC6D,38.904,-76.925
7D259889,Single_Gunshot,19-Mar-18,4:33:29,WashingtonDC7D,38.865,-76.984
5D84003,Single_Gunshot,20-Mar-18,1:12:22,WashingtonDC5D,38.915,-76.984
6D202259,Single_Gunshot,20-Mar-18,21:00:22,WashingtonDC6D,38.886,-76.953
6D202261,Single_Gunshot,21-Mar-18,0:14:48,WashingtonDC6D,38.91,-76.939
6D202262,Single_Gunshot,21-Mar-18,2:43:25,WashingtonDC6D,38.894,-76.923
7D259931,Single_Gunshot,21-Mar-18,7:15:30,WashingtonDC7D,38.834,-76.994
6D202264,Single_Gunshot,21-Mar-18,15:06:09,WashingtonDC6D,38.881,-76.939
6D202268,Single_Gunshot,21-Mar-18,21:40:54,WashingtonDC6D,38.904,-76.932
6D202273,Single_Gunshot,22-Mar-18,15:17:44,WashingtonDC6D,38.896,-76.957
6D202276,Single_Gunshot,22-Mar-18,16:29:54,WashingtonDC6D,38.895,-76.915
6D202277,Single_Gunshot,22-Mar-18,19:52:39,WashingtonDC6D,38.895,-76.942
6D202279,Single_Gunshot,23-Mar-18,1:47:17,WashingtonDC6D,38.895,-76.942
